                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2558,                 3.5791,                 2.9848,                0.20904,                0.32046,                 0.1898,                0.12066,                 1.4673,                 2.8376,                 2.3146,             0.00023779,             0.00023779,             0.00023779
                      2,                 1.4543,                 2.5703,                 1.9696,                0.42961,                0.31718,                0.28046,                0.19047,                 1.2704,                 2.2311,                 2.0011,             0.00031878,             0.00031878,             0.00031878
                      3,                 1.3115,                  2.229,                 1.8129,                0.60179,                0.37632,                0.39661,                0.28326,                  1.153,                 1.7701,                 1.8417,             0.00024269,             0.00024269,             0.00024269
