                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.89792,                0.89556,                 1.3375,                0.85112,                0.78184,                0.87386,                0.68527,                0.66667,                 0.5159,                 1.1041,                0.00901,                0.00901,                0.00901
                     23,                0.89726,                0.90209,                 1.3372,                0.85674,                0.77949,                 0.8743,                0.68415,                0.66671,                0.50565,                 1.0986,              0.0089605,              0.0089605,              0.0089605
                     24,                0.89372,                0.89281,                 1.3327,                0.84523,                0.78963,                0.87739,                0.68855,                0.66151,                0.50244,                 1.0961,               0.008911,               0.008911,               0.008911
                     25,                0.89989,                0.89333,                 1.3362,                0.85821,                0.78182,                0.87844,                 0.6913,                0.66001,                0.49874,                 1.0938,              0.0088615,              0.0088615,              0.0088615
                     26,                0.88558,                0.87938,                 1.3297,                0.85382,                0.78796,                0.88227,                0.69521,                0.65236,                0.49241,                 1.0831,               0.008812,               0.008812,               0.008812
                     27,                0.88873,                0.88505,                 1.3316,                0.86043,                0.78862,                0.88356,                0.69885,                0.64856,                0.48701,                  1.081,              0.0087625,              0.0087625,              0.0087625
                     28,                0.88937,                0.87713,                 1.3252,                0.85961,                0.79877,                0.88679,                0.70229,                0.64201,                0.48593,                 1.0705,               0.008713,               0.008713,               0.008713
                     29,                0.89782,                0.88676,                 1.3315,                0.85925,                0.79895,                0.88735,                0.70332,                 0.6381,                0.48077,                 1.0681,              0.0086635,              0.0086635,              0.0086635
                     30,                0.89648,                0.87546,                 1.3282,                0.86376,                0.79793,                0.89147,                 0.7057,                0.63093,                0.46866,                 1.0613,               0.008614,               0.008614,               0.008614
                     31,                0.87653,                0.86597,                 1.3216,                0.86701,                0.80353,                0.89345,                0.71078,                0.63037,                0.47432,                 1.0605,              0.0085645,              0.0085645,              0.0085645
                     32,                0.88864,                 0.8664,                 1.3226,                0.86743,                0.80352,                0.89413,                0.71066,                0.63406,                0.47366,                 1.0626,               0.008515,               0.008515,               0.008515
                     33,                0.87784,                0.85266,                 1.3179,                0.86536,                0.81029,                0.89639,                0.71381,                0.63141,                0.47452,                 1.0586,              0.0084655,              0.0084655,              0.0084655
                     34,                0.88197,                0.85682,                 1.3224,                0.86633,                0.81185,                 0.8973,                0.71594,                0.62849,                0.46381,                 1.0561,               0.008416,               0.008416,               0.008416
                     35,                0.88485,                0.85544,                 1.3182,                0.87066,                0.80727,                0.89786,                 0.7174,                 0.6224,                0.45834,                 1.0488,              0.0083665,              0.0083665,              0.0083665
                     36,                0.88054,                0.85484,                  1.318,                0.86839,                0.81147,                0.89936,                0.71814,                0.62222,                0.46056,                 1.0483,               0.008317,               0.008317,               0.008317
                     37,                0.87704,                0.84735,                 1.3177,                 0.8711,                0.81169,                0.90021,                0.71933,                0.61839,                0.45536,                 1.0433,              0.0082675,              0.0082675,              0.0082675
                     38,                0.87389,                0.84973,                  1.315,                0.87297,                0.81476,                0.90153,                0.72146,                0.61808,                0.45373,                 1.0423,               0.008218,               0.008218,               0.008218
                     39,                0.87904,                0.84676,                 1.3166,                0.87381,                0.81594,                0.90243,                0.72245,                0.61516,                0.44996,                   1.04,              0.0081685,              0.0081685,              0.0081685
                     40,                0.87364,                0.84997,                 1.3143,                0.87479,                0.81797,                0.90421,                0.72398,                0.61405,                0.44601,                 1.0384,               0.008119,               0.008119,               0.008119
                     41,                0.87325,                0.83684,                 1.3147,                0.87504,                0.81991,                 0.9051,                0.72534,                0.61028,                0.44418,                 1.0358,              0.0080695,              0.0080695,              0.0080695
                     42,                0.87139,                0.84025,                 1.3149,                0.87584,                0.81998,                0.90593,                0.72657,                0.60893,                 0.4426,                  1.034,                0.00802,                0.00802,                0.00802
                     43,                0.86854,                0.83077,                 1.3123,                0.87099,                0.82557,                0.90695,                0.72898,                0.60826,                0.44154,                 1.0334,              0.0079705,              0.0079705,              0.0079705
                     44,                0.87439,                 0.8299,                 1.3123,                0.87849,                0.82183,                0.90752,                0.73011,                0.60631,                0.43904,                 1.0308,               0.007921,               0.007921,               0.007921
                     45,                0.86184,                0.82426,                 1.3103,                0.88023,                0.82255,                0.90883,                 0.7323,                 0.6028,                0.43848,                 1.0272,              0.0078715,              0.0078715,              0.0078715
                     46,                0.86832,                0.82564,                 1.3076,                0.87966,                0.82505,                0.90935,                0.73352,                0.60071,                0.43764,                 1.0252,               0.007822,               0.007822,               0.007822
                     47,                0.86604,                0.82154,                  1.305,                0.87782,                0.82679,                0.90982,                0.73403,                0.59956,                0.43565,                 1.0232,              0.0077725,              0.0077725,              0.0077725
                     48,                 0.8622,                0.81791,                 1.3062,                0.87637,                0.82919,                0.91026,                0.73506,                0.59845,                0.43481,                 1.0222,               0.007723,               0.007723,               0.007723
                     49,                0.87146,                0.82209,                 1.3059,                0.87979,                0.82861,                0.91113,                0.73662,                0.59855,                0.43375,                 1.0218,              0.0076735,              0.0076735,              0.0076735
                     50,                0.85751,                0.81359,                 1.3032,                0.87967,                0.83008,                0.91173,                0.73718,                0.59777,                0.43365,                  1.021,               0.007624,               0.007624,               0.007624
                     51,                0.85608,                0.81347,                 1.2994,                0.87978,                0.83121,                 0.9123,                0.73828,                0.59648,                0.43214,                  1.019,              0.0075745,              0.0075745,              0.0075745
                     52,                0.86624,                0.81173,                 1.3052,                0.88238,                0.83012,                0.91277,                0.73887,                0.59484,                0.43065,                 1.0176,               0.007525,               0.007525,               0.007525
                     53,                0.85423,                0.80426,                 1.2976,                0.88087,                0.83279,                0.91311,                0.73939,                0.59398,                0.42939,                 1.0161,              0.0074755,              0.0074755,              0.0074755
                     54,                0.86146,                0.80555,                 1.2987,                0.88195,                0.83345,                 0.9137,                0.74013,                0.59278,                0.42828,                 1.0148,               0.007426,               0.007426,               0.007426
                     55,                0.86174,                0.80805,                 1.2981,                0.88162,                0.83441,                0.91431,                 0.7408,                0.59178,                0.42793,                  1.014,              0.0073765,              0.0073765,              0.0073765
                     56,                0.85863,                0.80731,                 1.2998,                0.88262,                0.83536,                0.91469,                0.74164,                0.59085,                0.42696,                 1.0129,               0.007327,               0.007327,               0.007327
                     57,                 0.8578,                0.80065,                 1.2985,                0.88382,                0.83514,                0.91514,                0.74203,                0.59009,                0.42601,                 1.0121,              0.0072775,              0.0072775,              0.0072775
                     58,                0.85552,                0.79673,                 1.2947,                0.88304,                0.83673,                 0.9154,                0.74278,                0.58931,                0.42491,                 1.0113,               0.007228,               0.007228,               0.007228
                     59,                0.85418,                 0.7925,                 1.2951,                0.88266,                0.83736,                0.91594,                0.74338,                0.58838,                0.42393,                 1.0101,              0.0071785,              0.0071785,              0.0071785
                     60,                0.85307,                0.78892,                 1.2918,                0.88311,                0.83797,                0.91621,                0.74379,                0.58755,                0.42281,                 1.0089,               0.007129,               0.007129,               0.007129
                     61,                0.85498,                 0.7868,                 1.2937,                0.88253,                0.83819,                0.91643,                0.74426,                0.58671,                0.42166,                 1.0079,              0.0070795,              0.0070795,              0.0070795
                     62,                0.85158,                0.78495,                 1.2893,                0.88378,                0.83795,                0.91678,                0.74482,                0.58602,                 0.4208,                 1.0071,                0.00703,                0.00703,                0.00703
                     63,                0.84999,                0.78308,                 1.2895,                0.88499,                0.83756,                0.91724,                0.74529,                0.58543,                0.42022,                 1.0061,              0.0069805,              0.0069805,              0.0069805
                     64,                0.84417,                0.77985,                 1.2868,                0.88522,                 0.8383,                 0.9177,                0.74597,                 0.5846,                0.41943,                 1.0051,               0.006931,               0.006931,               0.006931
                     65,                0.84888,                0.78174,                 1.2862,                0.88629,                0.83844,                0.91803,                0.74632,                0.58394,                0.41862,                 1.0041,              0.0068815,              0.0068815,              0.0068815
                     66,                0.83236,                0.76705,                 1.2819,                0.88604,                0.83933,                0.91846,                0.74677,                0.58335,                0.41808,                 1.0034,               0.006832,               0.006832,               0.006832
                     67,                0.83995,                0.77063,                 1.2848,                0.88707,                0.83868,                0.91876,                0.74717,                0.58267,                0.41734,                 1.0026,              0.0067825,              0.0067825,              0.0067825
                     68,                0.84464,                0.76555,                  1.286,                0.88747,                 0.8392,                0.91909,                0.74755,                0.58223,                 0.4166,                 1.0022,               0.006733,               0.006733,               0.006733
                     69,                0.84284,                0.76756,                 1.2852,                0.88637,                0.84033,                0.91932,                0.74801,                0.58189,                0.41595,                 1.0016,              0.0066835,              0.0066835,              0.0066835
                     70,                 0.8445,                 0.7694,                 1.2847,                0.88599,                0.84111,                0.91971,                0.74848,                0.58143,                0.41516,                 1.0012,               0.006634,               0.006634,               0.006634
                     71,                0.84215,                0.77408,                 1.2854,                0.88509,                0.84246,                   0.92,                  0.749,                0.58083,                0.41446,                 1.0005,              0.0065845,              0.0065845,              0.0065845
                     72,                0.83475,                0.75816,                 1.2772,                0.88605,                0.84206,                0.92027,                0.74947,                0.58023,                0.41386,                0.99983,               0.006535,               0.006535,               0.006535
                     73,                0.84411,                0.76427,                 1.2817,                0.88639,                0.84275,                0.92052,                0.74984,                0.57969,                0.41326,                0.99916,              0.0064855,              0.0064855,              0.0064855
                     74,                0.84122,                0.76754,                 1.2808,                0.88711,                0.84223,                0.92069,                0.75017,                0.57911,                0.41271,                0.99844,               0.006436,               0.006436,               0.006436
                     75,                0.83428,                0.75991,                 1.2784,                0.88599,                0.84344,                0.92092,                0.75064,                0.57867,                0.41222,                0.99794,              0.0063865,              0.0063865,              0.0063865
                     76,                0.83723,                0.75873,                 1.2821,                0.88512,                0.84421,                0.92118,                 0.7512,                0.57814,                0.41188,                 0.9975,               0.006337,               0.006337,               0.006337
                     77,                0.83052,                0.74784,                 1.2741,                0.88544,                0.84439,                0.92152,                0.75145,                0.57764,                 0.4111,                0.99696,              0.0062875,              0.0062875,              0.0062875
                     78,                0.83686,                0.75218,                 1.2762,                0.88627,                0.84447,                0.92175,                0.75202,                0.57714,                0.41044,                0.99633,               0.006238,               0.006238,               0.006238
                     79,                0.82738,                0.74936,                 1.2754,                0.88584,                0.84541,                0.92204,                0.75246,                0.57675,                0.40979,                0.99588,              0.0061885,              0.0061885,              0.0061885
                     80,                0.83071,                0.75096,                 1.2768,                0.88611,                0.84618,                0.92229,                0.75288,                0.57633,                0.40916,                 0.9954,               0.006139,               0.006139,               0.006139
                     81,                0.83641,                0.75324,                 1.2769,                0.88667,                0.84655,                0.92247,                0.75338,                0.57577,                0.40857,                0.99481,              0.0060895,              0.0060895,              0.0060895
                     82,                0.83572,                0.75162,                 1.2773,                0.88514,                0.84801,                0.92278,                0.75381,                 0.5754,                0.40792,                 0.9943,                0.00604,                0.00604,                0.00604
                     83,                0.82737,                 0.7433,                 1.2725,                 0.8869,                0.84778,                0.92309,                0.75432,                0.57492,                0.40725,                0.99372,              0.0059905,              0.0059905,              0.0059905
                     84,                0.82582,                0.74641,                 1.2725,                0.88715,                0.84841,                0.92339,                0.75461,                0.57441,                0.40656,                 0.9932,               0.005941,               0.005941,               0.005941
                     85,                0.82088,                0.73952,                 1.2722,                0.88743,                 0.8488,                0.92356,                 0.7551,                0.57396,                0.40581,                0.99269,              0.0058915,              0.0058915,              0.0058915
                     86,                0.81892,                0.73292,                 1.2668,                0.88699,                0.84942,                0.92382,                0.75552,                0.57351,                0.40511,                0.99204,               0.005842,               0.005842,               0.005842
                     87,                0.82758,                 0.7356,                 1.2698,                0.88699,                0.85013,                 0.9241,                0.75603,                  0.573,                0.40424,                0.99138,              0.0057925,              0.0057925,              0.0057925
                     88,                 0.8252,                0.73516,                   1.27,                0.88714,                0.85073,                0.92446,                0.75649,                0.57239,                0.40342,                0.99055,               0.005743,               0.005743,               0.005743
                     89,                0.82068,                  0.729,                 1.2681,                0.88856,                0.85027,                0.92468,                0.75671,                0.57189,                0.40272,                0.98992,              0.0056935,              0.0056935,              0.0056935
                     90,                0.82516,                0.73894,                   1.27,                0.88852,                0.85057,                0.92494,                0.75738,                 0.5714,                0.40214,                0.98943,               0.005644,               0.005644,               0.005644
                     91,                0.82238,                0.72833,                 1.2677,                0.88785,                0.85197,                0.92517,                0.75768,                0.57096,                0.40135,                 0.9888,              0.0055945,              0.0055945,              0.0055945
                     92,                0.81438,                0.72037,                 1.2688,                0.88829,                0.85229,                0.92535,                0.75829,                0.57062,                0.40061,                0.98839,               0.005545,               0.005545,               0.005545
                     93,                0.82324,                0.72127,                 1.2649,                 0.8884,                0.85278,                0.92568,                0.75858,                0.57014,                0.40009,                0.98784,              0.0054955,              0.0054955,              0.0054955
                     94,                0.82225,                0.72548,                 1.2655,                0.88902,                0.85261,                0.92598,                0.75912,                0.56954,                0.39947,                0.98717,               0.005446,               0.005446,               0.005446
                     95,                0.80825,                0.71312,                 1.2592,                0.89025,                0.85237,                0.92627,                0.75978,                0.56892,                0.39864,                 0.9865,              0.0053965,              0.0053965,              0.0053965
                     96,                0.82005,                 0.7253,                  1.262,                0.89055,                0.85326,                0.92652,                 0.7601,                0.56844,                0.39788,                0.98598,               0.005347,               0.005347,               0.005347
                     97,                0.81811,                0.71621,                 1.2617,                0.89209,                0.85328,                0.92679,                0.76068,                0.56807,                0.39731,                0.98556,              0.0052975,              0.0052975,              0.0052975
                     98,                0.82294,                0.72377,                 1.2644,                0.89241,                0.85313,                0.92709,                0.76105,                0.56751,                0.39647,                0.98498,               0.005248,               0.005248,               0.005248
                     99,                0.81013,                0.71193,                 1.2579,                0.89348,                0.85348,                0.92732,                0.76148,                0.56683,                0.39563,                0.98431,              0.0051985,              0.0051985,              0.0051985
                    100,                0.81632,                0.71553,                 1.2604,                0.89362,                0.85367,                0.92761,                0.76184,                0.56629,                0.39498,                0.98368,               0.005149,               0.005149,               0.005149
                    101,                0.81371,                0.71418,                 1.2592,                0.89418,                0.85379,                0.92797,                0.76223,                0.56542,                0.39409,                0.98274,              0.0050995,              0.0050995,              0.0050995
                    102,                0.80863,                0.70941,                 1.2577,                0.89416,                0.85453,                0.92819,                0.76271,                0.56461,                0.39329,                0.98185,                0.00505,                0.00505,                0.00505
                    103,                0.80244,                 0.7012,                 1.2552,                0.89323,                0.85562,                0.92848,                0.76308,                0.56402,                0.39269,                0.98133,              0.0050005,              0.0050005,              0.0050005
                    104,                0.80062,                0.70216,                 1.2523,                0.89438,                 0.8554,                0.92867,                0.76363,                0.56341,                0.39202,                0.98072,               0.004951,               0.004951,               0.004951
                    105,                0.81126,                0.70311,                 1.2556,                0.89367,                0.85679,                0.92904,                0.76411,                0.56271,                0.39121,                 0.9799,              0.0049015,              0.0049015,              0.0049015
                    106,                0.80162,                0.69733,                 1.2523,                0.89394,                0.85701,                0.92941,                0.76442,                0.56203,                0.39062,                0.97923,               0.004852,               0.004852,               0.004852
                    107,                0.80027,                 0.6999,                 1.2489,                0.89496,                0.85682,                0.92977,                0.76496,                0.56129,                0.38985,                0.97847,              0.0048025,              0.0048025,              0.0048025
                    108,                0.80182,                0.69378,                 1.2476,                0.89483,                 0.8574,                0.92999,                0.76553,                0.56072,                0.38907,                0.97785,               0.004753,               0.004753,               0.004753
                    109,                0.80826,                0.70055,                 1.2529,                0.89531,                 0.8578,                0.93025,                0.76607,                0.56008,                 0.3882,                0.97722,              0.0047035,              0.0047035,              0.0047035
                    110,                0.80446,                0.69623,                 1.2465,                0.89593,                0.85841,                0.93061,                0.76667,                0.55949,                0.38744,                0.97655,               0.004654,               0.004654,               0.004654
                    111,                0.79159,                0.68552,                 1.2451,                0.89511,                 0.8596,                0.93089,                0.76711,                0.55892,                0.38657,                0.97585,              0.0046045,              0.0046045,              0.0046045
                    112,                0.79837,                 0.6905,                 1.2476,                0.89505,                0.86015,                0.93122,                 0.7675,                0.55834,                0.38587,                 0.9753,               0.004555,               0.004555,               0.004555
                    113,                0.80532,                0.68836,                 1.2485,                0.89444,                0.86098,                0.93153,                0.76818,                0.55767,                0.38503,                0.97462,              0.0045055,              0.0045055,              0.0045055
                    114,                0.79745,                0.68658,                  1.245,                0.89484,                0.86147,                0.93186,                0.76867,                0.55704,                 0.3842,                0.97397,               0.004456,               0.004456,               0.004456
                    115,                0.79728,                0.68901,                 1.2471,                0.89577,                0.86162,                0.93218,                0.76925,                0.55633,                0.38325,                 0.9732,              0.0044065,              0.0044065,              0.0044065
                    116,                0.79969,                0.68764,                 1.2465,                0.89655,                 0.8622,                0.93259,                0.76971,                0.55549,                0.38236,                0.97233,               0.004357,               0.004357,               0.004357
                    117,                0.79575,                0.67704,                  1.243,                0.89703,                0.86242,                0.93288,                0.77036,                0.55471,                0.38141,                0.97153,              0.0043075,              0.0043075,              0.0043075
                    118,                0.80018,                0.67836,                 1.2467,                0.89757,                0.86267,                0.93336,                0.77076,                0.55379,                0.38037,                0.97049,               0.004258,               0.004258,               0.004258
                    119,                0.79999,                0.68354,                 1.2501,                0.89822,                  0.863,                 0.9337,                0.77139,                0.55283,                0.37945,                0.96946,              0.0042085,              0.0042085,              0.0042085
                    120,                0.79432,                0.67765,                 1.2454,                0.89904,                0.86293,                0.93406,                 0.7719,                0.55207,                0.37841,                0.96862,               0.004159,               0.004159,               0.004159
                    121,                0.79557,                0.67589,                 1.2437,                0.89909,                0.86348,                0.93433,                0.77241,                 0.5511,                0.37758,                0.96769,              0.0041095,              0.0041095,              0.0041095
                    122,                0.78242,                0.66968,                 1.2368,                0.89982,                0.86415,                 0.9346,                0.77277,                0.55035,                0.37675,                0.96691,                0.00406,                0.00406,                0.00406
                    123,                0.77956,                0.66722,                 1.2361,                0.90205,                0.86324,                0.93488,                 0.7735,                0.54944,                0.37582,                0.96585,              0.0040105,              0.0040105,              0.0040105
                    124,                  0.791,                0.66865,                 1.2383,                0.90121,                0.86481,                0.93523,                0.77402,                0.54861,                0.37476,                 0.9649,               0.003961,               0.003961,               0.003961
                    125,                0.79025,                0.66973,                 1.2378,                0.90135,                0.86569,                0.93553,                0.77452,                0.54799,                0.37392,                 0.9642,              0.0039115,              0.0039115,              0.0039115
                    126,                0.78678,                0.67257,                 1.2393,                 0.9004,                0.86717,                0.93587,                0.77515,                0.54743,                0.37311,                0.96369,               0.003862,               0.003862,               0.003862
                    127,                0.77824,                0.65948,                 1.2332,                0.90187,                 0.8672,                0.93614,                0.77579,                0.54681,                 0.3724,                0.96298,              0.0038125,              0.0038125,              0.0038125
                    128,                0.78611,                0.66928,                 1.2371,                 0.9012,                 0.8687,                0.93646,                0.77629,                0.54618,                 0.3717,                0.96235,               0.003763,               0.003763,               0.003763
                    129,                0.77627,                0.65682,                 1.2325,                0.90206,                0.86852,                0.93683,                 0.7766,                0.54549,                0.37095,                0.96165,              0.0037135,              0.0037135,              0.0037135
                    130,                0.77379,                0.65134,                 1.2302,                0.90193,                0.86926,                0.93716,                0.77718,                0.54478,                0.37027,                0.96095,               0.003664,               0.003664,               0.003664
                    131,                0.78496,                0.65321,                 1.2318,                0.90183,                0.87028,                0.93746,                0.77772,                0.54417,                0.36944,                0.96037,              0.0036145,              0.0036145,              0.0036145
                    132,                0.78033,                0.65586,                 1.2322,                 0.9035,                   0.87,                0.93769,                0.77817,                0.54338,                0.36872,                 0.9596,               0.003565,               0.003565,               0.003565
                    133,                0.78557,                0.65717,                 1.2332,                0.90372,                0.87066,                0.93796,                0.77865,                0.54276,                0.36785,                0.95896,              0.0035155,              0.0035155,              0.0035155
                    134,                0.77806,                 0.6493,                 1.2312,                0.90426,                0.87097,                0.93831,                0.77925,                0.54203,                0.36692,                0.95814,               0.003466,               0.003466,               0.003466
                    135,                0.77376,                0.64721,                 1.2294,                0.90404,                0.87241,                 0.9387,                0.77973,                0.54132,                0.36625,                0.95737,              0.0034165,              0.0034165,              0.0034165
                    136,                0.77664,                0.64814,                 1.2313,                0.90506,                0.87183,                0.93899,                0.78035,                0.54071,                0.36549,                0.95677,               0.003367,               0.003367,               0.003367
                    137,                0.77764,                0.64774,                  1.227,                0.90518,                0.87269,                0.93914,                0.78073,                0.54006,                0.36485,                  0.956,              0.0033175,              0.0033175,              0.0033175
                    138,                0.77792,                0.64669,                 1.2285,                0.90673,                0.87244,                 0.9395,                0.78116,                0.53925,                0.36423,                0.95515,               0.003268,               0.003268,               0.003268
                    139,                0.77691,                0.64324,                 1.2258,                0.90766,                0.87217,                 0.9398,                0.78188,                0.53864,                0.36329,                0.95437,              0.0032185,              0.0032185,              0.0032185
                    140,                0.76532,                0.63997,                 1.2236,                0.90794,                0.87247,                0.93997,                0.78234,                0.53797,                0.36236,                0.95357,               0.003169,               0.003169,               0.003169
                    141,                0.76919,                0.63788,                 1.2248,                0.90891,                0.87261,                0.94023,                0.78286,                0.53729,                0.36164,                0.95274,              0.0031195,              0.0031195,              0.0031195
                    142,                0.76699,                0.63277,                 1.2224,                0.90852,                0.87337,                0.94048,                0.78357,                0.53642,                0.36059,                0.95172,                0.00307,                0.00307,                0.00307
                    143,                0.76565,                0.63238,                 1.2227,                0.90917,                0.87362,                0.94081,                0.78401,                0.53556,                0.35956,                0.95072,              0.0030205,              0.0030205,              0.0030205
                    144,                0.77086,                0.63647,                 1.2241,                 0.9088,                0.87413,                0.94112,                0.78478,                0.53475,                0.35865,                0.94981,               0.002971,               0.002971,               0.002971
                    145,                0.76236,                 0.6273,                 1.2212,                0.91019,                0.87358,                0.94145,                0.78528,                0.53391,                0.35779,                0.94896,              0.0029215,              0.0029215,              0.0029215
                    146,                0.75739,                0.62769,                   1.22,                0.91063,                0.87424,                0.94176,                0.78574,                 0.5331,                0.35691,                0.94815,               0.002872,               0.002872,               0.002872
                    147,                0.76829,                0.62639,                 1.2202,                0.91019,                0.87562,                0.94204,                0.78631,                0.53234,                0.35602,                0.94734,              0.0028225,              0.0028225,              0.0028225
                    148,                0.76615,                0.62512,                 1.2196,                0.91183,                0.87534,                0.94239,                0.78704,                0.53155,                0.35519,                0.94651,               0.002773,               0.002773,               0.002773
                    149,                0.75954,                0.62364,                 1.2151,                0.91273,                0.87527,                0.94267,                 0.7876,                0.53063,                0.35433,                0.94557,              0.0027235,              0.0027235,              0.0027235
                    150,                0.76001,                0.62621,                 1.2173,                0.91248,                0.87609,                  0.943,                0.78814,                0.52984,                 0.3535,                0.94471,               0.002674,               0.002674,               0.002674
                    151,                0.75717,                0.62281,                  1.216,                0.91364,                0.87596,                0.94337,                0.78873,                0.52882,                0.35256,                0.94371,              0.0026245,              0.0026245,              0.0026245
                    152,                0.75657,                0.62228,                 1.2146,                0.91401,                0.87659,                0.94367,                0.78937,                  0.528,                 0.3517,                0.94284,               0.002575,               0.002575,               0.002575
                    153,                0.75231,                0.61323,                 1.2118,                0.91395,                0.87694,                 0.9439,                0.78986,                0.52725,                0.35083,                0.94207,              0.0025255,              0.0025255,              0.0025255
                    154,                0.75559,                0.61665,                 1.2151,                0.91422,                0.87753,                0.94418,                 0.7902,                0.52668,                0.34996,                0.94136,               0.002476,               0.002476,               0.002476
                    155,                0.75057,                0.61341,                 1.2131,                0.91493,                0.87797,                0.94444,                0.79085,                0.52593,                0.34918,                0.94055,              0.0024265,              0.0024265,              0.0024265
                    156,                0.75114,                0.61396,                 1.2078,                0.91559,                0.87857,                0.94479,                0.79133,                0.52522,                0.34836,                0.93979,               0.002377,               0.002377,               0.002377
                    157,                 0.7501,                0.60663,                 1.2094,                0.91575,                0.87911,                0.94516,                0.79195,                0.52443,                0.34746,                0.93897,              0.0023275,              0.0023275,              0.0023275
                    158,                0.74545,                0.60654,                 1.2088,                0.91574,                0.87981,                0.94551,                0.79253,                0.52364,                0.34668,                0.93825,               0.002278,               0.002278,               0.002278
                    159,                0.74875,                0.60368,                 1.2067,                0.91542,                0.88119,                0.94582,                0.79311,                0.52299,                 0.3459,                0.93764,              0.0022285,              0.0022285,              0.0022285
                    160,                0.74505,                0.60262,                 1.2068,                0.91637,                0.88145,                0.94605,                0.79349,                0.52219,                 0.3451,                0.93685,               0.002179,               0.002179,               0.002179
