                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80677,                0.74714,                  1.285,                0.86534,                0.79854,                0.89379,                0.71158,                0.61499,                0.46713,                 1.0461,              0.0033304,              0.0033304,              0.0033304
                      2,                0.84025,                0.79357,                 1.3054,                 0.8513,                0.76883,                0.86999,                0.67873,                0.65587,                0.51063,                  1.088,              0.0066308,              0.0066308,              0.0066308
                      3,                0.87857,                0.86827,                 1.3284,                0.82123,                0.71826,                0.82314,                0.62751,                0.72051,                0.59334,                 1.1721,              0.0098981,              0.0098981,              0.0098981
                      4,                0.92435,                0.96155,                 1.3605,                0.80858,                0.69623,                0.80241,                0.61065,                0.74675,                0.64812,                 1.1973,              0.0098515,              0.0098515,              0.0098515
                      5,                0.92284,                 0.9583,                 1.3624,                0.81809,                0.70396,                0.81252,                0.61817,                0.73921,                0.63919,                 1.1877,              0.0098515,              0.0098515,              0.0098515
                      6,                0.90592,                 0.9285,                   1.35,                0.82448,                0.71003,                0.81671,                0.61486,                0.76706,                0.60077,                 1.2191,               0.009802,               0.009802,               0.009802
                      7,                0.93325,                0.97262,                 1.3691,                0.79795,                0.70173,                0.79724,                0.60826,                0.74507,                0.63097,                 1.1993,              0.0097525,              0.0097525,              0.0097525
                      8,                0.93148,                0.97115,                 1.3675,                0.81807,                0.71239,                0.82016,                   0.63,                0.73932,                0.61871,                  1.184,               0.009703,               0.009703,               0.009703
                      9,                0.92806,                0.97038,                 1.3635,                0.80504,                 0.7224,                 0.8203,                0.62766,                0.72862,                0.60791,                 1.1779,              0.0096535,              0.0096535,              0.0096535
                     10,                0.93258,                0.96374,                 1.3639,                0.83186,                0.72301,                0.83219,                0.63498,                0.73411,                0.58784,                 1.1676,               0.009604,               0.009604,               0.009604
                     11,                0.92556,                0.96167,                 1.3631,                0.82741,                0.73088,                0.83626,                0.63833,                0.72508,                 0.5885,                 1.1689,              0.0095545,              0.0095545,              0.0095545
                     12,                0.92869,                0.95632,                 1.3594,                0.83042,                0.73297,                0.83718,                0.64218,                0.70852,                0.58258,                 1.1575,               0.009505,               0.009505,               0.009505
                     13,                0.91554,                0.93641,                 1.3526,                0.82837,                0.73439,                 0.8357,                0.64443,                0.70762,                0.57223,                 1.1561,              0.0094555,              0.0094555,              0.0094555
                     14,                0.90624,                0.92873,                 1.3474,                0.83412,                0.73218,                0.84045,                0.64927,                0.71242,                0.57715,                 1.1487,               0.009406,               0.009406,               0.009406
                     15,                0.90821,                0.92693,                 1.3493,                0.83844,                0.73652,                0.84648,                0.65748,                0.69355,                 0.5641,                 1.1408,              0.0093565,              0.0093565,              0.0093565
                     16,                0.91157,                0.92913,                 1.3492,                0.83819,                0.75098,                0.85156,                0.66005,                0.68942,                0.54605,                 1.1304,               0.009307,               0.009307,               0.009307
                     17,                0.90712,                0.91986,                 1.3474,                0.82968,                0.75498,                0.85391,                0.66586,                0.68038,                0.53578,                 1.1204,              0.0092575,              0.0092575,              0.0092575
                     18,                0.90028,                 0.9103,                 1.3395,                0.83733,                0.75707,                0.85744,                0.66452,                0.68663,                0.53883,                 1.1306,               0.009208,               0.009208,               0.009208
                     19,                0.89936,                0.90964,                 1.3411,                0.83932,                0.76043,                0.85828,                0.66954,                0.67657,                0.53549,                 1.1115,              0.0091585,              0.0091585,              0.0091585
                     20,                0.90782,                0.90893,                 1.3459,                0.83967,                0.76487,                0.86387,                0.67304,                0.67536,                0.53087,                 1.1132,               0.009109,               0.009109,               0.009109
                     21,                0.90192,                0.90144,                 1.3429,                0.83791,                0.77115,                0.86729,                0.67609,                0.67424,                0.52268,                 1.1108,              0.0090595,              0.0090595,              0.0090595
